,#,team,gp,w,l,min,offrtg,defrtg,netrtg,ast%,ast/to,"ast
ratio",oreb%,dreb%,reb%,tov%,efg%,ts%,pace,pie,poss,season
11,12,Dallas Mavericks,75,43,32,3635.0,115.9,111.2,4.8,59.2,1.94,17.7,27.5,74.0,50.9,12.6,54.5,58.1,99.89,52.1,"7,569",'19-20
12,12,Philadelphia 76ers,73,43,30,3519.0,110.7,108.4,2.3,62.8,1.82,18.5,28.1,75.3,51.6,14.2,53.4,56.6,99.59,52.3,"7,304",'19-20
13,14,Brooklyn Nets,72,35,37,3496.0,108.7,109.2,-0.5,60.6,1.60,17.3,28.0,73.6,51.1,14.8,52.0,55.4,101.70,50.0,"7,404",'19-20
14,14,Portland Trail Blazers,74,35,39,3567.0,113.2,114.3,-1.1,48.8,1.61,15.2,26.6,71.2,49.2,12.6,53.3,57.0,101.17,48.6,"7,519",'19-20
15,16,Memphis Grizzlies,73,34,39,3514.0,108.7,109.7,-1.0,63.3,1.77,18.7,27.1,73.3,50.6,14.7,52.8,56.1,103.31,50.7,"7,562",'19-20
16,16,Phoenix Suns,73,34,39,3519.0,111.3,110.8,0.5,66.1,1.84,19.2,26.1,73.4,49.8,14.5,53.2,57.6,101.74,51.2,"7,449",'19-20
17,18,Orlando Magic,73,33,40,3514.0,107.9,109.2,-1.3,60.8,1.86,17.5,26.7,74.9,50.0,12.9,50.6,54.4,98.99,49.6,"7,255",'19-20
18,19,San Antonio Spurs,71,32,39,3443.0,111.7,112.6,-0.9,58.5,1.96,17.9,23.3,75.1,49.5,12.3,53.1,57.2,101.14,50.2,"7,249",'19-20
19,20,Sacramento Kings,72,31,41,3491.0,109.5,111.4,-1.9,58.2,1.64,17.4,25.8,73.6,49.2,14.4,53.4,56.6,99.60,47.9,"7,239",'19-20
20,21,New Orleans Pelicans,72,30,42,3486.0,110.5,111.8,-1.3,63.0,1.64,18.4,28.7,72.9,50.8,15.6,53.9,56.8,103.89,49.5,"7,548",'19-20
21,22,Washington Wizards,72,25,47,3471.0,110.2,114.7,-4.5,60.2,1.77,17.6,26.2,71.2,47.8,13.6,52.3,56.2,103.38,47.3,"7,475",'19-20
22,23,Charlotte Hornets,65,23,42,3150.0,105.9,112.8,-7.0,63.9,1.63,17.7,28.0,70.6,48.6,15.0,50.4,53.9,96.24,45.5,"6,317",'19-20
23,24,Chicago Bulls,65,22,43,3135.0,105.8,108.9,-3.1,58.7,1.50,16.9,26.7,71.9,48.1,15.3,51.5,54.7,100.46,46.6,"6,563",'19-20
24,25,New York Knicks,66,21,45,3193.0,105.9,112.4,-6.5,55.2,1.54,16.0,30.0,74.2,51.3,14.3,50.1,53.1,99.11,46.1,"6,594",'19-20
25,26,Atlanta Hawks,67,20,47,3256.0,107.0,114.4,-7.4,58.9,1.48,16.9,26.7,70.8,48.4,15.5,51.5,55.4,103.28,45.4,"6,999",'19-20
26,26,Detroit Pistons,66,20,46,3193.0,108.8,112.3,-3.5,61.2,1.58,17.7,27.7,71.7,49.3,15.5,52.9,56.1,97.86,47.3,"6,507",'19-20
27,28,Cleveland Cavaliers,65,19,46,3145.0,106.9,114.8,-7.9,57.3,1.40,16.8,29.6,73.8,51.2,16.5,52.2,55.3,99.17,45.3,"6,497",'19-20
28,28,Minnesota Timberwolves,64,19,45,3112.0,107.6,111.6,-4.0,59.0,1.55,16.7,26.4,73.1,48.8,14.6,51.4,55.1,103.94,47.2,"6,736",'19-20
29,30,Golden State Warriors,65,15,50,3145.0,104.4,113.0,-8.6,66.3,1.72,18.2,25.5,72.2,48.1,14.6,49.7,54.0,101.04,46.2,"6,623",'19-20
0,1,Utah Jazz,72,52,20,3471.0,116.5,107.5,9.0,57.3,1.66,17.3,28.4,75.7,52.9,14.2,56.3,59.7,99.37,54.2,"7,193",'20-21
1,2,Phoenix Suns,72,51,21,3496.0,116.3,110.4,5.9,62.2,2.15,19.6,24.8,74.1,50.0,12.6,56.4,59.7,98.00,53.4,"7,137",'20-21
2,3,Philadelphia 76ers,72,49,23,3486.0,112.5,107.0,5.5,57.2,1.64,17.2,27.7,73.7,51.1,14.3,54.1,57.9,100.12,53.6,"7,272",'20-21
3,4,Brooklyn Nets,72,48,24,3481.0,117.3,113.1,4.2,62.1,1.98,19.3,25.2,72.6,50.3,13.4,57.5,61.0,100.27,53.2,"7,280",'20-21
4,5,Denver Nuggets,72,47,25,3496.0,116.3,111.5,4.8,62.1,1.99,19.3,29.2,75.1,52.2,13.6,55.7,58.8,97.74,52.5,"7,123",'20-21
5,5,LA Clippers,72,47,25,3456.0,116.7,110.6,6.1,58.4,1.85,18.1,27.0,75.4,51.8,13.5,56.4,59.9,97.63,53.0,"7,036",'20-21
6,7,Milwaukee Bucks,72,46,26,3466.0,116.5,110.7,5.8,56.9,1.84,18.0,26.9,75.5,51.9,13.4,56.6,59.3,102.85,53.3,"7,423",'20-21
7,8,Dallas Mavericks,72,42,30,3461.0,114.6,112.3,2.3,55.7,1.90,17.2,25.3,73.4,49.6,12.3,55.0,58.2,97.94,51.0,"7,062",'20-21
8,8,Los Angeles Lakers,72,42,30,3491.0,109.8,106.8,2.9,60.7,1.62,18.0,26.9,74.8,51.1,15.2,53.6,56.9,98.85,51.7,"7,184",'20-21
9,8,Portland Trail Blazers,72,42,30,3461.0,117.1,115.3,1.8,51.5,1.92,15.9,27.3,73.1,49.5,11.2,54.0,57.7,98.97,49.3,"7,137",'20-21
10,11,Atlanta Hawks,72,41,31,3481.0,114.3,112.1,2.2,59.1,1.82,17.6,28.4,74.2,51.6,13.3,53.9,58.1,98.68,51.1,"7,160",'20-21
11,11,New York Knicks,72,41,31,3486.0,110.2,107.8,2.4,54.3,1.65,16.3,26.4,73.8,50.5,13.3,52.4,55.9,96.32,50.2,"6,994",'20-21
12,13,Miami Heat,72,40,32,3476.0,110.6,110.7,-0.1,67.1,1.87,19.5,24.0,73.3,49.1,14.4,54.6,58.1,97.09,50.9,"7,036",'20-21
13,14,Golden State Warriors,72,39,33,3461.0,110.5,109.4,1.1,67.0,1.84,19.6,22.2,72.7,48.0,14.6,55.1,58.3,102.81,51.0,"7,412",'20-21
14,15,Memphis Grizzlies,72,38,34,3481.0,111.7,110.5,1.2,62.8,2.03,18.9,28.5,73.6,50.7,13.1,52.8,56.0,100.77,51.1,"7,302",'20-21
15,16,Boston Celtics,72,36,36,3476.0,113.1,111.8,1.2,56.6,1.67,17.1,28.9,73.7,51.0,14.1,54.3,57.4,98.94,50.1,"7,172",'20-21
16,17,Indiana Pacers,72,34,38,3491.0,111.9,111.9,0.1,63.3,2.02,19.2,24.7,70.1,47.6,13.1,54.2,57.5,102.05,50.2,"7,419",'20-21
17,17,Washington Wizards,72,34,38,3481.0,110.7,112.3,-1.6,59.0,1.77,17.8,25.0,73.6,49.4,13.7,53.1,56.9,104.67,49.6,"7,585",'20-21
18,19,Charlotte Hornets,72,33,39,3471.0,110.1,112.0,-1.9,67.2,1.81,19.2,27.6,72.2,49.6,14.9,53.2,56.4,99.00,48.9,"7,159",'20-21
19,19,San Antonio Spurs,72,33,39,3496.0,110.5,112.0,-1.5,58.4,2.14,17.9,24.3,73.3,48.5,11.3,51.7,55.4,99.45,49.3,"7,236",'20-21
20,21,Chicago Bulls,72,31,41,3476.0,110.4,111.5,-1.1,63.5,1.77,19.2,26.7,76.7,51.9,15.1,54.7,57.5,99.58,49.9,"7,220",'20-21
21,21,New Orleans Pelicans,72,31,41,3486.0,113.0,113.3,-0.3,61.2,1.78,18.3,30.2,75.5,52.7,14.4,53.7,57.0,100.54,50.8,"7,303",'20-21
22,21,Sacramento Kings,72,31,41,3461.0,112.7,116.5,-3.8,59.9,1.91,18.4,25.3,71.3,48.2,13.3,54.9,57.8,100.71,48.1,"7,266",'20-21
23,24,Toronto Raptors,72,27,45,3461.0,111.6,112.0,-0.4,60.7,1.82,17.7,25.6,71.6,47.9,13.3,52.9,56.7,99.57,48.6,"7,177",'20-21
24,25,Minnesota Timberwolves,72,23,49,3481.0,109.3,114.5,-5.3,63.0,1.80,18.0,27.1,71.7,48.4,13.9,52.0,55.5,101.96,46.9,"7,389",'20-21
25,26,Cleveland Cavaliers,72,22,50,3486.0,105.2,113.5,-8.3,61.8,1.54,17.5,28.0,72.9,49.9,15.7,50.8,54.3,97.96,46.0,"7,107",'20-21
26,26,Oklahoma City Thunder,72,22,50,3471.0,102.8,113.4,-10.6,56.8,1.37,16.1,25.4,74.2,49.4,15.8,50.9,53.9,101.61,44.2,"7,353",'20-21
27,28,Orlando Magic,72,21,51,3466.0,104.6,113.9,-9.3,57.0,1.70,16.3,25.2,74.4,48.8,12.9,49.0,52.7,99.17,45.0,"7,158",'20-21
28,29,Detroit Pistons,72,20,52,3486.0,107.6,112.2,-4.5,62.6,1.62,17.8,26.7,72.5,49.3,15.1,51.9,55.6,98.19,47.3,"7,132",'20-21
29,30,Houston Rockets,72,17,55,3461.0,107.0,114.4,-7.4,60.1,1.60,17.2,24.0,72.3,47.4,14.5,52.1,55.3,101.69,45.1,"7,320",'20-21
0,1,Phoenix Suns,82,64,18,3946.0,114.2,106.8,7.5,62.7,2.12,19.5,26.4,72.8,50.3,12.9,54.9,58.1,100.26,54.8,"8,242",'21-22
1,2,Memphis Grizzlies,82,56,26,3956.0,114.3,108.9,5.3,59.7,1.97,17.9,33.8,72.6,52.6,13.0,52.2,55.3,100.52,53.0,"8,295",'21-22
2,3,Golden State Warriors,82,53,29,3946.0,112.1,106.6,5.5,66.9,1.82,19.5,26.9,73.6,51.0,15.0,55.2,58.2,98.74,53.6,"8,121",'21-22
3,3,Miami Heat,82,53,29,3971.0,113.0,108.4,4.5,64.4,1.75,18.8,27.8,73.5,51.0,14.9,54.7,58.4,96.53,52.9,"7,987",'21-22
4,5,Dallas Mavericks,82,52,30,3951.0,112.5,109.1,3.5,59.5,1.87,17.8,25.6,73.3,49.6,13.0,53.8,57.2,95.64,51.1,"7,871",'21-22
5,6,Boston Celtics,82,51,31,3981.0,113.6,106.2,7.4,60.9,1.82,18.2,27.7,72.5,50.9,13.9,54.2,57.8,97.26,54.7,"8,068",'21-22
6,6,Milwaukee Bucks,82,51,31,3951.0,114.3,111.1,3.2,57.2,1.78,17.3,26.9,74.7,51.2,13.3,54.6,58.0,100.59,51.6,"8,284",'21-22
7,6,Philadelphia 76ers,82,51,31,3961.0,113.0,110.2,2.8,60.2,1.89,17.9,24.6,72.4,49.0,12.9,53.4,57.8,96.71,51.7,"7,975",'21-22
8,9,Utah Jazz,82,49,33,3946.0,116.2,110.0,6.2,55.2,1.60,16.7,30.0,73.8,52.5,14.3,55.5,58.9,97.50,52.8,"8,014",'21-22
9,10,Denver Nuggets,82,48,34,3961.0,113.8,111.5,2.3,66.7,1.92,20.0,26.8,75.2,51.5,14.6,55.6,59.0,98.41,51.6,"8,123",'21-22
10,10,Toronto Raptors,82,48,34,3971.0,112.1,109.9,2.2,54.3,1.77,16.1,32.5,71.4,50.8,12.8,51.0,54.3,96.63,49.4,"8,000",'21-22
11,12,Chicago Bulls,82,46,36,3946.0,112.7,113.2,-0.5,57.2,1.86,17.8,24.9,73.5,49.5,13.0,54.1,57.9,98.76,49.6,"8,124",'21-22
12,12,Minnesota Timberwolves,82,46,36,3956.0,113.8,111.0,2.7,61.7,1.79,18.1,28.4,70.6,49.0,14.1,53.9,57.3,101.47,50.4,"8,357",'21-22
13,14,Brooklyn Nets,82,44,38,3951.0,113.2,112.3,0.9,60.2,1.80,18.3,28.1,70.4,49.9,14.1,54.0,57.6,99.40,51.2,"8,177",'21-22
14,14,Cleveland Cavaliers,82,44,38,3946.0,111.0,108.9,2.1,63.4,1.75,18.7,27.7,72.4,50.6,14.8,53.8,57.1,96.83,51.7,"7,964",'21-22
15,16,Atlanta Hawks,82,43,39,3941.0,115.4,113.7,1.6,59.3,2.08,18.1,26.9,73.1,50.1,12.0,54.3,58.1,98.67,50.9,"8,099",'21-22
16,16,Charlotte Hornets,82,43,39,3976.0,113.6,113.1,0.5,65.6,2.12,19.6,27.0,70.6,48.6,13.1,54.4,57.2,100.52,50.4,"8,322",'21-22
17,18,LA Clippers,82,42,40,3956.0,109.5,109.5,0.0,59.9,1.75,17.7,25.4,70.6,48.6,13.9,53.1,56.4,98.51,50.2,"8,121",'21-22
18,19,New York Knicks,82,37,45,3956.0,109.7,110.2,-0.4,58.1,1.65,16.4,29.1,74.0,51.2,13.7,51.3,55.0,96.42,49.1,"7,958",'21-22
19,20,New Orleans Pelicans,82,36,46,3951.0,111.2,112.0,-0.8,62.1,1.78,18.1,30.6,74.2,51.8,14.3,51.7,55.7,98.02,50.0,"8,060",'21-22
20,21,Washington Wizards,82,35,47,3966.0,110.2,113.6,-3.4,61.7,1.91,18.5,24.7,73.1,49.4,13.3,53.2,56.8,97.80,49.6,"8,079",'21-22
21,22,San Antonio Spurs,82,34,48,3961.0,111.9,111.7,0.2,64.6,2.19,19.5,28.1,71.1,49.4,12.6,52.7,55.6,100.51,51.0,"8,290",'21-22
22,23,Los Angeles Lakers,82,33,49,3996.0,110.0,112.8,-2.9,57.6,1.65,17.3,25.6,72.0,49.0,14.2,53.7,56.7,100.47,48.2,"8,360",'21-22
23,24,Sacramento Kings,82,30,52,3961.0,109.6,114.8,-5.2,58.5,1.68,17.3,25.9,71.4,48.4,14.0,52.5,56.1,100.10,47.3,"8,252",'21-22
24,25,Portland Trail Blazers,82,27,55,3946.0,107.3,116.3,-9.1,59.5,1.58,17.0,26.8,72.1,48.7,14.6,51.5,55.0,98.74,44.7,"8,120",'21-22
25,26,Indiana Pacers,82,25,57,3976.0,111.9,115.5,-3.6,61.2,1.76,18.1,31.0,72.5,51.2,14.5,53.1,56.4,98.55,47.8,"8,166",'21-22
26,27,Oklahoma City Thunder,82,24,58,3961.0,103.8,111.7,-8.0,58.0,1.59,16.4,25.6,72.7,48.7,14.0,49.7,53.0,99.39,45.1,"8,198",'21-22
27,28,Detroit Pistons,82,23,59,3956.0,105.6,113.3,-7.7,61.5,1.65,17.1,27.6,70.7,48.1,14.3,49.4,53.3,98.81,45.0,"8,141",'21-22
28,29,Orlando Magic,82,22,60,3956.0,103.9,112.1,-8.1,62.0,1.64,17.4,24.9,73.5,49.0,14.4,50.3,53.8,99.71,45.8,"8,223",'21-22
29,30,Houston Rockets,82,20,62,3951.0,108.1,116.4,-8.3,59.8,1.43,17.1,26.5,71.0,48.5,16.2,53.4,56.5,101.16,45.1,"8,323",'21-22
0,1,Boston Celtics,39,27,12,1892.0,117.2,111.1,6.1,63.4,1.95,19.1,24.6,73.7,49.8,13.5,56.7,60.5,100.36,53.5,"3,950",'22-23
1,2,Brooklyn Nets,39,26,13,1877.0,115.8,111.5,4.3,61.4,1.83,19.6,22.5,69.3,47.9,14.6,58.4,61.6,99.03,53.3,"3,869",'22-23
2,2,Denver Nuggets,39,26,13,1882.0,117.2,114.0,3.1,65.6,1.89,20.3,28.4,74.0,51.8,15.3,57.9,60.8,99.15,52.2,"3,884",'22-23
3,4,Cleveland Cavaliers,40,25,15,1955.0,113.9,109.1,4.8,58.1,1.64,17.5,28.3,73.8,51.4,14.7,54.8,58.6,96.11,52.8,"3,915",'22-23
4,4,Memphis Grizzlies,38,25,13,1834.0,113.8,109.0,4.8,58.1,1.73,17.5,33.0,72.0,52.6,14.2,53.0,56.0,101.38,52.8,"3,874",'22-23
5,4,Milwaukee Bucks,39,25,14,1892.0,110.5,109.4,1.2,59.7,1.55,17.2,30.4,74.4,52.5,15.4,52.8,56.1,100.60,51.2,"3,966",'22-23
6,7,New Orleans Pelicans,39,24,15,1902.0,114.7,110.4,4.3,61.4,1.69,18.2,30.9,72.8,51.9,15.1,54.2,58.3,100.50,52.4,"3,982",'22-23
7,8,Philadelphia 76ers,38,23,15,1849.0,113.7,110.0,3.7,61.2,1.75,18.3,24.1,70.6,47.9,14.2,55.2,59.4,97.77,51.6,"3,761",'22-23
8,9,Dallas Mavericks,39,22,17,1897.0,114.8,113.4,1.4,55.8,1.78,16.7,23.5,72.2,47.5,12.6,55.6,59.0,96.30,49.6,"3,809",'22-23
9,9,Indiana Pacers,40,22,18,1925.0,113.3,113.5,-0.2,65.0,1.78,18.8,28.2,69.4,48.6,14.8,54.4,58.2,101.70,49.6,"4,081",'22-23
10,9,New York Knicks,40,22,18,1945.0,114.2,111.6,2.6,56.0,1.70,16.5,32.6,71.7,51.9,13.6,52.4,56.3,98.58,51.1,"3,999",'22-23
11,12,LA Clippers,41,21,20,1978.0,109.7,110.8,-1.2,58.1,1.50,16.9,27.1,73.0,50.5,15.3,53.6,57.2,98.97,48.9,"4,081",'22-23
12,12,Miami Heat,40,21,19,1935.0,110.8,111.2,-0.5,60.6,1.77,17.6,26.2,72.8,48.8,13.6,52.5,56.6,97.44,49.4,"3,932",'22-23
13,14,Golden State Warriors,39,20,19,1887.0,112.8,113.3,-0.5,68.9,1.75,20.1,26.5,71.6,49.4,16.1,56.4,59.4,102.97,49.8,"4,050",'22-23
14,14,Phoenix Suns,40,20,20,1935.0,114.6,112.2,2.4,63.5,1.94,18.9,31.4,70.7,50.5,13.9,53.7,57.1,98.00,50.9,"3,946",'22-23
15,14,Sacramento Kings,37,20,17,1781.0,115.1,114.1,1.0,62.5,1.81,18.9,25.5,74.1,49.8,14.3,56.3,59.9,102.13,50.3,"3,792",'22-23
16,14,Utah Jazz,41,20,21,1983.0,116.1,114.9,1.3,61.6,1.71,18.3,30.7,69.5,49.9,15.0,55.3,58.8,100.57,50.3,"4,150",'22-23
17,18,Minnesota Timberwolves,40,19,21,1925.0,112.7,112.8,-0.1,60.0,1.61,18.3,25.8,69.2,48.5,15.6,55.6,59.2,101.95,50.6,"4,081",'22-23
18,18,Portland Trail Blazers,38,19,19,1834.0,113.7,113.2,0.4,60.5,1.57,17.8,29.0,71.3,50.4,15.7,55.1,58.8,98.33,50.1,"3,758",'22-23
19,20,Atlanta Hawks,39,18,21,1897.0,111.5,113.1,-1.5,55.3,1.86,17.0,27.2,71.2,48.7,12.5,52.4,56.2,101.91,49.1,"4,033",'22-23
20,20,Chicago Bulls,39,18,21,1897.0,112.7,113.4,-0.8,57.5,1.76,17.9,23.7,73.6,49.2,13.7,55.0,58.9,100.47,50.2,"3,973",'22-23
21,20,Los Angeles Lakers,39,18,21,1887.0,112.4,113.1,-0.7,58.4,1.68,17.8,25.3,72.7,49.9,14.4,54.3,58.3,102.80,50.4,"4,038",'22-23
22,23,Oklahoma City Thunder,39,17,22,1902.0,111.7,112.2,-0.5,56.1,1.70,16.9,28.4,69.1,48.4,13.6,52.7,56.4,102.54,48.8,"4,064",'22-23
23,23,Washington Wizards,40,17,23,1930.0,111.8,112.9,-1.1,59.7,1.77,18.1,26.3,72.7,50.2,14.0,54.3,57.8,99.66,50.8,"4,009",'22-23
24,25,Toronto Raptors,39,16,23,1887.0,112.4,112.6,-0.2,56.2,1.86,16.5,30.8,71.5,49.5,12.3,50.5,54.8,98.07,48.7,"3,854",'22-23
25,26,Orlando Magic,39,14,25,1882.0,110.7,114.5,-3.8,55.8,1.42,16.4,27.9,72.6,50.6,15.7,53.1,57.4,99.15,47.8,"3,885",'22-23
26,27,San Antonio Spurs,39,13,26,1877.0,110.3,118.9,-8.6,63.3,1.68,18.8,30.7,69.6,49.4,15.8,53.4,56.2,101.22,46.0,"3,959",'22-23
27,28,Charlotte Hornets,40,11,29,1950.0,108.3,114.7,-6.3,60.2,1.82,17.4,29.7,71.6,49.5,13.4,50.5,53.9,101.61,46.8,"4,133",'22-23
28,28,Detroit Pistons,42,11,31,2031.0,110.7,117.7,-7.0,56.4,1.52,16.1,29.7,71.4,49.8,14.5,51.7,56.0,100.28,45.0,"4,241",'22-23
29,30,Houston Rockets,39,10,29,1882.0,109.0,116.1,-7.0,55.5,1.28,15.6,33.9,72.4,52.7,16.8,50.9,55.1,99.69,46.3,"3,913",'22-23
