,player,team,age,height,weight,college,country,draft year,draft round,draft number,gp,pts,reb,ast,netrtg,oreb%,dreb%,usg%,ts%,ast%,season
2012,Raef LaFrentz,BOS,28,210.82,245.0,Kansas,USA,1998,1,3,17.0,7.8,4.6,1.4,10.5,8.9,14.1,18.6,50.9,11.5,'03-04
2013,Rafer Alston,MIA,27,187.96,175.0,Fresno State,USA,1998,2,39,82.0,10.2,2.8,4.5,1.3,1.0,8.1,17.1,50.9,25.2,'03-04
2014,Raja Bell,UTA,27,195.58,210.0,Florida International,U.S. Virgin Islands,Undrafted,Undrafted,Undrafted,82.0,11.2,2.9,1.3,-1.6,3.1,9.8,23.3,50.0,10.7,'03-04
2015,Randy Livingston,LAC,29,193.04,209.0,Louisiana State,USA,1996,2,42,4.0,2.0,1.8,1.0,-28.0,3.3,8.6,15.6,31.6,18.2,'03-04
2016,Rashard Lewis,SEA,24,208.28,215.0,None,USA,1998,2,32,80.0,17.8,6.5,2.2,0.3,4.7,13.3,23.1,52.7,10.5,'03-04
2017,Rasheed Wallace,DET,29,210.82,230.0,North Carolina,USA,1995,1,4,68.0,16.0,6.8,2.3,4.2,4.5,15.4,23.1,51.0,11.5,'03-04
2018,Rasho Nesterovic,SAS,28,213.36,248.0,None,Slovenia,1998,1,17,82.0,8.7,7.7,1.4,6.6,11.1,15.8,16.7,47.3,8.2,'03-04
2019,Rasual Butler,MIA,25,200.66,205.0,La Salle,USA,2002,2,52,45.0,6.8,1.4,0.5,2.6,0.6,8.2,19.6,58.6,6.6,'03-04
2020,Raul Lopez,UTA,24,182.88,160.0,None,Spain,2001,1,24,82.0,7.0,1.9,3.7,-1.1,1.6,8.8,21.0,50.3,36.4,'03-04
2021,Ray Allen,SEA,28,195.58,205.0,Connecticut,USA,1996,1,5,56.0,23.0,5.1,4.8,2.4,3.3,10.5,27.3,56.6,22.3,'03-04
2022,Reece Gaines,ORL,23,198.12,205.0,Louisville,USA,2003,1,15,38.0,1.8,1.0,1.1,-1.2,2.2,8.6,14.7,35.6,18.5,'03-04
2023,Reggie Evans,SEA,24,203.2,245.0,Iowa,USA,Undrafted,Undrafted,Undrafted,75.0,2.9,5.4,0.4,-3.7,12.2,21.5,10.6,47.1,4.0,'03-04
2024,Reggie Miller,IND,38,200.66,195.0,UCLA,USA,1987,1,11,80.0,10.0,2.4,3.1,10.8,0.8,7.8,14.4,60.0,18.1,'03-04
