,#,team,gp,w,l,min,"est. 
offrtg","est. 
defrtg","est. 
netrtg","est. 
ast ratio","est. 
oreb%","est. 
dreb%","est. 
reb%","est. 
tov%","est. 
pace",season
0,1,Indiana Pacers,82,61,21,3961,100.9,94.8,6.1,17.3,28.5,73.9,50.9,15.9,89.90,'03-04
1,2,Minnesota Timberwolves,82,58,24,3951,103.3,96.6,6.7,18.2,26.7,72.5,50.9,13.9,91.50,'03-04
2,3,San Antonio Spurs,82,57,25,3951,99.8,91.6,8.2,16.3,29.5,74.6,52.3,16.0,91.50,'03-04
3,4,Los Angeles Lakers,82,56,26,3971,102.7,98.7,4.0,17.9,28.1,73.3,50.4,14.4,94.80,'03-04
4,5,Sacramento Kings,82,55,27,3956,107.3,102.2,5.1,19.6,26.0,69.8,48.4,14.5,95.30,'03-04
5,6,Detroit Pistons,82,54,28,3956,99.1,92.5,6.6,16.6,30.1,71.8,51.3,16.6,90.50,'03-04
6,7,Dallas Mavericks,82,52,30,3961,109.6,104.3,5.3,17.7,31.4,71.6,51.0,12.7,95.70,'03-04
7,8,Memphis Grizzlies,82,50,32,3976,101.9,99.2,2.7,17.7,29.5,68.4,48.7,15.8,94.00,'03-04
8,9,New Jersey Nets,82,47,35,3941,98.2,95.2,3.0,19.1,25.9,73.9,49.9,16.0,91.90,'03-04
9,10,Houston Rockets,82,45,37,3986,98.1,96.4,1.8,15.8,26.5,74.5,51.7,18.3,90.30,'03-04
10,11,Denver Nuggets,82,43,39,3946,100.8,99.9,0.9,16.5,30.5,69.3,49.6,16.2,96.10,'03-04
11,12,Miami Heat,82,42,40,3951,99.3,98.9,0.4,15.6,27.4,73.4,50.2,15.2,90.50,'03-04
12,12,Utah Jazz,82,42,40,3956,98.3,100.4,-2.1,16.3,34.1,72.4,52.9,18.4,89.40,'03-04
13,14,Milwaukee Bucks,82,41,41,3956,103.5,102.6,0.9,17.5,27.6,71.8,49.7,14.3,94.10,'03-04
14,14,New Orleans Hornets,82,41,41,3966,99.1,99.5,-0.3,16.4,30.6,71.3,50.4,16.2,91.80,'03-04
15,14,Portland Trail Blazers,82,41,41,3996,100.5,102.2,-1.6,17.2,31.2,70.0,50.8,16.4,88.80,'03-04
16,17,New York Knicks,82,39,43,3976,99.1,100.3,-1.2,16.4,28.0,72.8,50.7,16.9,92.10,'03-04
17,18,Seattle SuperSonics,82,37,45,3961,104.0,104.7,-0.6,17.1,27.2,68.5,48.0,15.5,92.80,'03-04
18,18,Golden State Warriors,82,37,45,3971,100.5,101.2,-0.7,16.2,28.4,72.1,50.2,15.9,92.10,'03-04
19,20,Boston Celtics,82,36,46,3941,99.9,100.2,-0.3,16.1,25.2,69.5,47.8,17.0,95.80,'03-04
20,21,Cleveland Cavaliers,82,35,47,3971,98.4,101.3,-2.9,16.9,31.1,73.0,52.0,15.7,93.60,'03-04
21,22,Philadelphia 76ers,82,33,49,3971,96.1,99.1,-3.0,16.1,28.2,70.7,49.7,17.4,90.70,'03-04
22,22,Toronto Raptors,82,33,49,3996,94.6,97.6,-3.0,15.9,23.8,70.1,46.8,15.7,89.10,'03-04
