,#,team,gp,w,l,min,"est. 
offrtg","est. 
defrtg","est. 
netrtg","est. 
ast ratio","est. 
oreb%","est. 
dreb%","est. 
reb%","est. 
tov%","est. 
pace",season
15,16,Boston Celtics,72,36,36,3476,111.0,110.0,0.9,17.1,24.3,78.1,51.0,13.9,100.70,'20-21
16,17,Washington Wizards,72,34,38,3481,108.9,110.5,-1.7,17.8,21.3,77.6,49.5,13.4,106.40,'20-21
17,17,Indiana Pacers,72,34,38,3491,109.9,109.6,0.3,19.2,20.2,74.9,47.7,12.9,104.00,'20-21
18,19,San Antonio Spurs,72,33,39,3496,108.6,110.7,-2.1,17.9,20.0,77.3,48.1,11.1,101.00,'20-21
19,19,Charlotte Hornets,72,33,39,3471,108.1,110.6,-2.5,19.2,23.5,75.7,49.2,14.7,100.60,'20-21
20,21,New Orleans Pelicans,72,31,41,3486,110.8,111.6,-0.7,18.3,26.3,80.0,53.1,14.1,102.30,'20-21
21,21,Sacramento Kings,72,31,41,3461,111.1,114.6,-3.5,18.4,21.3,75.0,47.8,13.1,102.20,'20-21
22,21,Chicago Bulls,72,31,41,3476,108.7,109.9,-1.2,19.2,22.3,80.3,51.6,14.9,101.10,'20-21
23,24,Toronto Raptors,72,27,45,3461,109.3,109.8,-0.5,17.7,20.8,76.3,47.6,13.0,101.60,'20-21
24,25,Minnesota Timberwolves,72,23,49,3481,107.0,112.1,-5.2,18.0,22.7,76.8,48.7,13.6,104.10,'20-21
25,26,Oklahoma City Thunder,72,22,50,3471,101.3,111.9,-10.5,16.1,21.2,77.9,49.2,15.6,103.10,'20-21
26,26,Cleveland Cavaliers,72,22,50,3486,103.1,112.1,-8.9,17.5,23.6,76.6,49.4,15.4,99.60,'20-21
27,28,Orlando Magic,72,21,51,3466,102.9,112.1,-9.2,16.3,21.6,78.2,49.0,12.7,100.80,'20-21
28,29,Detroit Pistons,72,20,52,3486,105.4,110.3,-4.9,17.8,21.9,76.9,49.1,14.8,100.10,'20-21
29,30,Houston Rockets,72,17,55,3461,104.9,112.4,-7.5,17.2,19.8,77.1,47.2,14.2,103.60,'20-21
0,1,Phoenix Suns,82,64,18,3946,112.5,104.7,7.8,19.5,22.3,77.1,50.5,12.7,102.00,'21-22
1,2,Memphis Grizzlies,82,56,26,3956,111.6,106.2,5.4,17.9,30.0,77.8,53.3,12.7,103.10,'21-22
2,3,Golden State Warriors,82,53,29,3946,110.5,103.9,6.5,19.5,22.8,78.7,51.6,14.8,100.70,'21-22
3,3,Miami Heat,82,53,29,3971,111.2,106.3,4.9,18.8,23.5,78.0,51.2,14.7,98.20,'21-22
4,5,Dallas Mavericks,82,52,30,3951,110.5,106.8,3.7,17.8,21.3,78.0,49.6,12.8,97.50,'21-22
5,6,Milwaukee Bucks,82,51,31,3951,112.5,109.4,3.1,17.3,23.0,78.6,51.4,13.1,102.20,'21-22
6,6,Boston Celtics,82,51,31,3981,112.1,104.0,8.1,18.2,24.0,77.3,51.3,13.7,99.00,'21-22
7,6,Philadelphia 76ers,82,51,31,3961,111.0,108.3,2.7,17.9,20.1,76.8,48.9,12.6,98.40,'21-22
8,9,Utah Jazz,82,49,33,3946,114.0,107.7,6.2,16.7,25.4,78.3,52.7,14.0,99.50,'21-22
9,10,Denver Nuggets,82,48,34,3961,111.7,110.3,1.4,20.0,21.9,78.3,51.0,14.4,99.90,'21-22
10,10,Toronto Raptors,82,48,34,3971,109.6,107.9,1.7,16.1,28.4,75.6,50.7,12.5,98.60,'21-22
11,12,Minnesota Timberwolves,82,46,36,3956,111.3,109.1,2.1,18.1,24.4,74.9,49.0,13.8,103.50,'21-22
12,12,Chicago Bulls,82,46,36,3946,111.0,111.1,-0.1,17.8,20.4,78.3,49.5,12.8,100.40,'21-22
13,14,Brooklyn Nets,82,44,38,3951,111.0,109.6,1.3,18.3,23.9,75.1,50.2,13.8,101.60,'21-22
14,14,Cleveland Cavaliers,82,44,38,3946,109.4,107.0,2.4,18.7,24.0,76.5,50.8,14.6,98.40,'21-22
15,16,Charlotte Hornets,82,43,39,3976,111.7,111.0,0.7,19.6,23.3,74.8,48.7,12.8,102.30,'21-22
16,16,Atlanta Hawks,82,43,39,3941,114.0,112.1,1.9,18.1,23.0,76.9,50.1,11.9,100.00,'21-22
17,18,LA Clippers,82,42,40,3956,107.7,107.5,0.2,17.7,20.6,74.4,48.3,13.6,100.20,'21-22
18,19,New York Knicks,82,37,45,3956,108.0,107.6,0.4,16.4,25.1,78.8,51.4,13.4,98.40,'21-22
19,20,New Orleans Pelicans,82,36,46,3951,109.0,110.5,-1.5,18.1,26.9,78.2,52.0,14.0,99.70,'21-22
20,21,Washington Wizards,82,35,47,3966,108.9,111.7,-2.8,18.5,20.9,76.9,49.4,13.2,99.30,'21-22
21,22,San Antonio Spurs,82,34,48,3961,109.4,110.0,-0.6,19.5,23.7,75.1,49.2,12.3,102.40,'21-22
22,23,Los Angeles Lakers,82,33,49,3996,107.9,110.9,-3.0,17.3,21.1,75.8,48.6,14.0,102.30,'21-22
23,24,Sacramento Kings,82,30,52,3961,107.2,112.9,-5.7,17.3,21.3,76.0,48.4,13.7,102.10,'21-22
24,25,Portland Trail Blazers,82,27,55,3946,105.5,114.0,-8.5,17.0,22.9,76.9,48.9,14.4,100.60,'21-22
25,26,Indiana Pacers,82,25,57,3976,109.2,113.9,-4.6,18.1,25.5,76.2,50.4,14.1,100.50,'21-22
26,27,Oklahoma City Thunder,82,24,58,3961,102.2,110.2,-8.0,16.4,21.8,76.1,48.5,13.8,100.80,'21-22
27,28,Detroit Pistons,82,23,59,3956,103.3,111.1,-7.9,17.1,23.4,75.6,48.2,14.0,100.90,'21-22
28,29,Orlando Magic,82,22,60,3956,101.8,110.3,-8.5,17.4,19.8,77.2,48.4,14.2,101.50,'21-22
29,30,Houston Rockets,82,20,62,3951,105.4,114.4,-9.0,17.1,21.7,74.4,47.9,15.8,103.30,'21-22
0,1,Boston Celtics,39,27,12,1892,115.9,109.5,6.4,19.1,21.4,77.6,49.8,13.3,101.70,'22-23
1,2,Brooklyn Nets,39,26,13,1877,114.7,108.5,6.2,19.6,19.0,74.5,48.3,14.5,100.90,'22-23
2,2,Denver Nuggets,39,26,13,1882,115.4,112.5,2.9,20.3,24.8,77.8,51.9,15.0,100.60,'22-23
3,4,Memphis Grizzlies,38,25,13,1834,110.7,107.1,3.6,17.5,29.0,76.3,53.1,13.9,103.80,'22-23
4,4,Milwaukee Bucks,39,25,14,1892,108.5,108.1,0.4,17.2,27.1,77.9,53.1,15.1,102.10,'22-23
5,4,Cleveland Cavaliers,40,25,15,1955,111.9,107.3,4.7,17.5,24.1,78.1,51.5,14.4,97.80,'22-23
6,7,New Orleans Pelicans,39,24,15,1902,112.5,108.2,4.3,18.2,27.0,77.1,52.1,14.8,102.50,'22-23
7,8,Philadelphia 76ers,38,23,15,1849,112.1,107.8,4.3,18.3,20.2,75.7,48.2,14.0,99.50,'22-23
8,9,Indiana Pacers,40,22,18,1925,110.3,112.2,-1.9,18.8,22.5,72.5,47.9,14.4,103.70,'22-23
9,9,New York Knicks,40,22,18,1945,111.9,109.4,2.5,16.5,28.2,75.7,51.8,13.3,100.60,'22-23
10,9,Dallas Mavericks,39,22,17,1897,112.8,111.3,1.5,16.7,18.8,76.2,47.1,12.4,98.10,'22-23
11,12,LA Clippers,41,21,20,1978,108.1,109.1,-1.0,16.9,22.5,76.5,49.9,15.1,100.50,'22-23
12,12,Miami Heat,40,21,19,1935,108.8,108.6,0.2,17.6,21.8,77.6,48.5,13.4,99.50,'22-23
13,14,Golden State Warriors,39,20,19,1887,111.1,111.0,0.1,20.1,22.9,75.8,49.7,15.9,104.80,'22-23
14,14,Sacramento Kings,37,20,17,1781,113.0,112.5,0.5,18.9,20.9,77.7,49.7,14.1,103.70,'22-23
15,14,Utah Jazz,41,20,21,1983,113.7,112.6,1.1,18.3,26.6,73.6,49.9,14.7,102.70,'22-23
16,14,Phoenix Suns,40,20,20,1935,112.0,110.4,1.6,18.9,26.8,74.6,50.0,13.6,100.00,'22-23
17,18,Minnesota Timberwolves,40,19,21,1925,110.7,110.7,0.1,18.3,21.9,72.9,48.4,15.3,103.80,'22-23
18,18,Portland Trail Blazers,38,19,19,1834,112.1,110.7,1.3,17.8,25.7,76.0,51.2,15.5,100.10,'22-23
19,20,Los Angeles Lakers,39,18,21,1887,110.4,111.5,-1.1,17.8,21.4,76.4,50.0,14.1,104.50,'22-23
20,20,Atlanta Hawks,39,18,21,1897,110.0,111.0,-1.0,17.0,23.0,75.5,48.6,12.3,103.60,'22-23
21,20,Chicago Bulls,39,18,21,1897,111.7,111.4,0.3,17.9,20.2,77.8,49.3,13.6,101.80,'22-23
22,23,Oklahoma City Thunder,39,17,22,1902,109.9,110.5,-0.6,16.9,24.4,72.5,48.0,13.4,104.10,'22-23
23,23,Washington Wizards,40,17,23,1930,110.2,110.8,-0.5,18.1,22.1,77.1,50.4,13.8,101.30,'22-23
24,25,Toronto Raptors,39,16,23,1887,109.9,111.1,-1.2,16.5,26.9,75.7,49.5,12.0,99.80,'22-23
25,26,Orlando Magic,39,14,25,1882,108.6,111.8,-3.2,16.4,24.0,77.2,50.8,15.4,101.30,'22-23
26,27,San Antonio Spurs,39,13,26,1877,107.9,116.6,-8.7,18.8,26.8,74.3,49.7,15.4,103.30,'22-23
27,28,Charlotte Hornets,40,11,29,1950,106.5,112.3,-5.8,17.4,26.0,75.8,49.6,13.2,103.50,'22-23
28,28,Detroit Pistons,42,11,31,2031,108.4,115.9,-7.5,16.1,25.1,74.9,49.1,14.3,102.10,'22-23
29,30,Houston Rockets,39,10,29,1882,106.2,114.2,-7.9,15.6,29.8,75.7,52.7,16.4,101.80,'22-23
