,#,player,team,age,gp,w,l,min,offrtg,defrtg,netrtg,ast%,ast/to,ast ratio,oreb%,dreb%,reb%,to ratio,efg%,ts%,usg%,pace,pie,poss,season
2988,333,Brian Cardinal,MEM,29,36,18,18,11.2,100.7,94.0,6.7,13.6,1.22,17.9,3.1,12.1,7.6,14.7,47.3,50.5,17.9,89.59,5.8,749,'05-06
2989,333,Ira Newble,CLE,31,36,23,13,9.8,102.8,101.7,1.1,3.9,0.75,10.6,6.2,9.6,7.9,14.1,32.5,37.5,9.6,95.36,0.8,689,'05-06
2990,333,Larry Hughes,CLE,27,36,23,13,35.6,108.5,107.0,1.5,17.4,1.32,16.6,2.1,11.1,6.6,12.6,43.9,50.4,23.4,92.07,8.6,2452,'05-06
2991,333,Linton Johnson,NOK,26,36,13,23,14.6,102.4,106.8,-4.4,4.2,0.50,6.9,7.9,17.3,12.5,13.7,45.3,47.6,16.4,91.06,6.2,993,'05-06
2992,333,Luke Jackson,CLE,24,36,19,17,8.8,97.3,103.1,-5.9,13.7,0.81,16.0,4.9,8.3,6.5,19.9,41.2,48.2,17.6,93.69,4.7,621,'05-06
2993,333,Ronald Dupree,MIN,25,36,14,22,7.4,91.2,102.1,-10.9,9.2,1.00,12.6,7.6,11.1,9.3,12.6,52.4,49.4,16.5,93.26,4.1,509,'05-06
2994,333,Stacey Augmon,ORL,37,36,12,24,10.7,100.3,94.6,5.7,9.2,2.09,18.9,5.1,9.4,7.3,9.0,34.2,41.2,11.8,90.08,4.8,723,'05-06
2995,333,Troy Hudson,MIN,30,36,17,19,22.2,101.5,103.8,-2.4,23.9,2.65,21.4,1.1,4.6,2.8,8.1,44.1,48.0,22.9,89.42,8.8,1491,'05-06
2996,333,Walter McCarty,LAC,32,36,15,21,9.8,95.8,94.4,1.4,11.2,1.21,15.3,4.2,15.5,9.8,12.7,38.4,40.7,16.3,94.66,3.7,694,'05-06
2997,344,Calvin Booth,WAS,30,33,14,19,7.6,105.3,107.8,-2.6,7.5,1.50,16.9,7.8,14.3,10.9,11.3,43.6,45.1,10.3,94.07,4.1,494,'05-06
2998,344,Carlos Boozer,UTA,24,33,17,16,31.1,108.2,110.9,-2.7,15.4,1.28,14.2,7.6,22.7,15.1,11.2,54.9,58.5,23.1,92.58,15.1,1973,'05-06
2999,344,Lawrence Roberts,MEM,23,33,23,10,5.5,92.8,93.0,-0.2,4.8,1.00,7.8,14.9,13.1,14.0,7.8,45.5,47.1,14.1,95.20,6.1,361,'05-06
3000,344,Richie Frahm,HOU,28,33,13,20,10.4,99.7,100.6,-0.9,9.7,2.63,15.8,0.9,9.3,5.0,6.0,50.5,51.7,14.5,94.33,6.4,677,'05-06
3001,344,Vitaly Potapenko,SAC,31,33,17,16,10.7,102.4,112.4,-10.0,4.1,0.56,8.6,8.0,13.7,10.5,15.2,52.1,53.5,12.3,91.11,3.2,671,'05-06
3002,349,Bo Outlaw,ORL,35,32,15,17,11.1,98.5,99.5,-1.1,6.5,0.82,15.1,9.5,13.0,11.3,18.3,60.3,61.0,10.3,89.65,8.5,661,'05-06
3003,349,Chris Andersen,NOK,27,32,12,20,17.8,99.2,97.9,1.3,1.8,0.23,3.4,10.7,18.6,14.4,14.7,57.1,56.2,13.7,90.68,7.9,1073,'05-06
3004,349,Corey Maggette,LAC,26,32,21,11,29.5,107.8,101.0,6.8,12.0,0.85,10.4,3.3,13.8,9.1,12.3,47.7,58.4,27.1,95.74,12.6,1879,'05-06
3005,349,Gerald Green,BOS,20,32,13,19,11.7,95.1,97.9,-2.8,9.3,0.82,9.2,3.1,8.3,5.9,11.3,50.0,54.1,21.4,98.52,8.5,759,'05-06
3006,349,Howard Eisley,DEN,33,32,17,15,12.3,93.8,101.8,-7.9,29.4,3.29,33.8,0.8,8.1,4.4,10.3,39.3,44.5,15.1,97.07,7.2,795,'05-06
3007,354,Michael Doleac,MIA,29,31,19,12,12.0,89.4,104.5,-15.2,3.9,0.57,6.4,6.6,17.4,12.1,11.2,42.0,48.4,14.1,94.48,7.3,735,'05-06
3008,355,Jermaine Jackson,MIL,30,30,17,13,6.7,88.0,113.3,-25.3,21.7,1.92,36.2,4.3,9.5,7.0,18.8,44.2,54.4,9.7,98.58,5.9,409,'05-06
3009,355,Lindsey Hunter,DET,35,30,21,9,11.8,96.2,91.0,5.2,28.3,3.10,33.7,2.8,8.8,5.7,10.9,42.5,42.7,15.7,92.67,7.6,676,'05-06
3010,355,Lou Williams,PHI,19,30,14,16,4.8,94.7,100.7,-6.0,12.0,0.77,12.5,2.2,11.9,7.1,16.3,46.2,48.5,21.8,94.70,6.1,282,'05-06
3011,358,Andray Blatche,WAS,19,29,16,13,6.1,100.3,103.5,-3.2,10.3,0.83,10.8,6.9,15.1,11.0,12.9,41.0,45.0,20.7,94.23,5.0,345,'05-06
