,#,team,gp,w,l,min,"pts
off to","2nd
pts",fbps,pitp,"opp pts
off to","opp
2nd pts","opp
fbps","opp
pitp",season
19,20,New Orleans Pelicans,82,36,46,48.2,16.6,15.1,14.3,48.4,16.1,12.6,11.2,45.3,'21-22
20,21,Washington Wizards,82,35,47,48.4,14.0,11.9,9.8,49.1,15.4,12.6,9.4,48.2,'21-22
21,22,San Antonio Spurs,82,34,48,48.3,16.5,14.3,13.6,53.3,15.3,14.9,11.8,50.2,'21-22
22,23,Los Angeles Lakers,82,33,49,48.7,16.1,12.1,14.8,49.2,17.1,13.4,15.0,51.5,'21-22
23,24,Sacramento Kings,82,30,52,48.3,16.3,13.1,11.7,49.0,17.9,14.8,13.4,51.4,'21-22
24,25,Portland Trail Blazers,82,27,55,48.1,16.6,13.6,12.4,43.8,17.5,13.0,14.3,47.5,'21-22
25,26,Indiana Pacers,82,25,57,48.5,14.5,14.7,13.3,49.7,17.1,13.6,13.4,51.5,'21-22
26,27,Oklahoma City Thunder,82,24,58,48.3,14.9,11.9,10.6,46.9,16.5,13.9,10.7,47.7,'21-22
27,28,Detroit Pistons,82,23,59,48.2,17.0,13.6,10.5,45.6,16.9,12.5,11.0,49.7,'21-22
28,29,Orlando Magic,82,22,60,48.2,14.2,12.4,10.8,45.4,16.8,13.4,12.2,44.5,'21-22
29,30,Houston Rockets,82,20,62,48.2,16.1,14.2,12.2,48.9,21.2,14.7,15.8,53.2,'21-22
0,1,Boston Celtics,39,27,12,48.5,17.4,12.1,14.7,45.9,15.4,13.6,12.7,48.2,'22-23
1,2,Brooklyn Nets,39,26,13,48.1,16.7,10.9,16.4,46.2,18.4,14.4,14.3,48.2,'22-23
2,2,Denver Nuggets,39,26,13,48.3,15.8,13.1,16.3,54.8,18.1,12.2,14.2,51.8,'22-23
3,4,Cleveland Cavaliers,40,25,15,48.9,17.9,13.0,12.0,50.9,15.7,11.5,13.8,45.6,'22-23
4,4,Memphis Grizzlies,38,25,13,48.3,17.3,16.1,17.9,59.0,16.1,14.2,12.7,46.1,'22-23
5,4,Milwaukee Bucks,39,25,14,48.5,13.8,15.0,13.1,45.6,17.1,13.2,13.4,49.1,'22-23
6,7,New Orleans Pelicans,39,24,15,48.8,19.3,15.4,14.7,54.7,18.9,13.6,14.1,49.5,'22-23
7,8,Philadelphia 76ers,38,23,15,48.7,19.2,10.5,13.8,45.8,16.7,13.5,16.4,47.6,'22-23
8,9,Dallas Mavericks,39,22,17,48.6,17.7,11.4,10.1,42.2,14.8,13.7,12.6,48.9,'22-23
9,9,Indiana Pacers,40,22,18,48.1,18.1,13.1,18.9,47.9,17.3,15.3,14.7,49.8,'22-23
10,9,New York Knicks,40,22,18,48.6,16.4,17.6,12.5,52.5,16.1,14.0,13.2,45.6,'22-23
11,12,LA Clippers,41,21,20,48.2,16.0,10.9,12.5,42.7,18.7,13.6,14.7,50.0,'22-23
12,12,Miami Heat,40,21,19,48.4,19.1,12.6,11.2,46.1,15.7,12.7,11.7,45.0,'22-23
13,14,Golden State Warriors,39,20,19,48.4,17.2,12.3,14.4,44.2,21.1,13.5,13.7,49.1,'22-23
14,14,Phoenix Suns,40,20,20,48.4,18.2,15.0,10.3,45.5,16.0,13.6,12.0,48.7,'22-23
15,14,Sacramento Kings,37,20,17,48.1,16.8,12.9,15.6,51.8,18.5,12.3,11.9,54.8,'22-23
16,14,Utah Jazz,41,20,21,48.4,18.0,16.1,11.3,49.4,18.3,14.8,16.1,55.9,'22-23
17,18,Minnesota Timberwolves,40,19,21,48.1,18.2,11.9,14.4,54.8,19.5,14.8,14.7,48.0,'22-23
18,18,Portland Trail Blazers,38,19,19,48.3,17.3,14.1,14.4,47.3,18.2,13.7,15.0,51.8,'22-23
19,20,Atlanta Hawks,39,18,21,48.6,18.1,12.9,13.4,52.4,15.6,14.5,14.5,53.7,'22-23
20,20,Chicago Bulls,39,18,21,48.6,18.1,10.5,14.1,47.6,16.1,12.7,12.1,47.9,'22-23
21,20,Los Angeles Lakers,39,18,21,48.4,13.7,12.4,16.9,56.4,18.0,14.6,15.7,52.4,'22-23
22,23,Oklahoma City Thunder,39,17,22,48.8,20.2,14.0,13.6,55.4,15.8,15.7,11.4,53.0,'22-23
23,23,Washington Wizards,40,17,23,48.3,15.5,12.6,12.8,52.2,16.2,14.4,13.1,49.5,'22-23
24,25,Toronto Raptors,39,16,23,48.4,21.6,16.7,18.1,51.1,15.5,12.6,15.4,47.8,'22-23
25,26,Orlando Magic,39,14,25,48.3,16.3,14.5,11.9,48.4,18.6,13.3,15.1,48.6,'22-23
26,27,San Antonio Spurs,39,13,26,48.1,16.9,15.7,14.5,54.3,19.6,14.3,14.4,54.9,'22-23
27,28,Charlotte Hornets,40,11,29,48.8,19.2,16.1,14.6,54.2,16.9,14.5,12.0,51.2,'22-23
28,28,Detroit Pistons,42,11,31,48.4,16.4,16.0,11.0,45.7,18.0,14.7,13.1,54.4,'22-23
29,30,Houston Rockets,39,10,29,48.3,15.8,17.1,11.2,49.9,21.5,13.3,17.2,47.0,'22-23
