,#,team,gp,w,l,min,"pts
off to","2nd
pts",fbps,pitp,"opp pts
off to","opp
2nd pts","opp
fbps","opp
pitp",season
23,23,Toronto Raptors,82,33,49,48.3,15.4,11.6,11.6,34.1,15.3,13.8,11.7,41.9,'04-05
24,25,Milwaukee Bucks,82,30,52,48.2,14.6,14.2,10.3,38.9,16.2,13.6,15.0,41.9,'04-05
25,26,Portland Trail Blazers,82,27,55,48.1,14.7,13.6,13.4,42.3,17.7,15.8,14.3,41.6,'04-05
26,27,Utah Jazz,82,26,56,48.2,15.4,14.3,9.9,37.2,17.8,12.1,13.4,35.6,'04-05
27,28,Charlotte Bobcats,82,18,64,48.5,16.6,15.7,10.5,36.9,16.6,13.1,14.0,40.8,'04-05
28,28,New Orleans Hornets,82,18,64,48.6,14.4,13.6,10.1,32.6,17.5,13.6,11.7,36.7,'04-05
29,30,Atlanta Hawks,82,13,69,48.4,16.2,14.3,11.7,43.6,18.5,13.6,13.1,41.4,'04-05
0,1,Detroit Pistons,82,64,18,48.4,15.7,13.5,12.0,32.2,13.5,12.6,11.4,40.1,'05-06
1,2,San Antonio Spurs,82,63,19,48.3,15.5,12.5,9.5,42.1,13.1,11.8,11.0,39.1,'05-06
2,3,Dallas Mavericks,82,60,22,48.5,16.0,14.0,13.7,37.7,14.0,12.8,12.3,35.9,'05-06
3,4,Phoenix Suns,82,54,28,48.7,17.0,11.0,16.0,37.4,14.9,14.6,11.2,41.4,'05-06
4,5,Miami Heat,82,52,30,48.2,15.3,13.5,12.8,46.4,16.4,11.9,12.4,35.3,'05-06
5,6,Cleveland Cavaliers,82,50,32,48.4,15.1,12.7,12.6,41.1,15.6,11.9,10.8,37.2,'05-06
6,7,Memphis Grizzlies,82,49,33,48.4,16.0,12.5,9.0,37.5,14.8,12.6,12.3,36.3,'05-06
7,7,New Jersey Nets,82,49,33,48.2,16.2,11.3,12.9,33.4,14.7,10.7,11.3,34.4,'05-06
8,9,Los Angeles Clippers,82,47,35,48.3,13.4,12.4,9.0,39.8,15.7,12.5,9.8,39.0,'05-06
9,10,Los Angeles Lakers,82,45,37,48.4,16.9,13.9,9.9,39.3,14.0,13.2,10.1,39.1,'05-06
10,11,Denver Nuggets,82,44,38,48.6,18.0,12.4,20.2,42.9,16.7,14.2,14.2,41.1,'05-06
11,11,Sacramento Kings,82,44,38,48.4,16.8,12.6,10.8,36.5,16.5,12.8,12.1,39.9,'05-06
